CodeID,Sex,Age,Population,Likelihood,TrialType,Order,TrialNumber,LookingTime
40,M,3.9,Lemon,Prob,Expected ,UnexFirst,2,4.40
41,M,2.7,Apple,Prob,Unexpected,UnexFirst,1,4.73
41,M,2.7,Apple,Prob,Expected ,UnexFirst,2,2.73
42,F,2.9,Apple,Poss,Unexpected,UnexFirst,1,6.53
42,F,2.9,Apple,Poss,Expected ,UnexFirst,2,9.53
43,M,1.7,Apple,Poss,Unexpected,UnexFirst,1,9.20
43,M,1.7,Apple,Poss,Expected ,UnexFirst,2,4.97
44,M,21.4,Lemon,Prob,Expected ,ExpFirst,1,2.17
44,M,21.4,Lemon,Prob,Unexpected,ExpFirst,2,5.27
45,F,13.6,Lemon,Prob,Expected ,ExpFirst,1,1.87
45,F,13.6,Lemon,Prob,Unexpected,ExpFirst,2,1.47
46,M,15.5,Lemon,Prob,Unexpected,UnexFirst,1,2.93
46,M,15.5,Lemon,Prob,Expected ,UnexFirst,2,2.07
47,F,11.7,Apple,Poss,Expected ,ExpFirst,1,1.27
47,F,11.7,Apple,Poss,Unexpected,ExpFirst,2,0.93
48,M,9.8,Lemon,Poss,Expected ,ExpFirst,1,4.10
48,M,9.8,Lemon,Poss,Unexpected,ExpFirst,2,5.03
49,M,7.7,Lemon,Prob,Unexpected,UnexFirst,1,9.80
49,M,7.7,Lemon,Prob,Expected ,UnexFirst,2,2.50
50,F,6.7,Apple,Prob,Unexpected,UnexFirst,1,5.37
50,F,6.7,Apple,Prob,Expected ,UnexFirst,2,1.63
51,F,6.7,Apple,Prob,Expected ,ExpFirst,1,3.67
51,F,6.7,Apple,Prob,Unexpected,ExpFirst,2,1.07
52,M,3.8,Lemon,Prob,Expected ,ExpFirst,1,1.67
52,M,3.8,Lemon,Prob,Unexpected,ExpFirst,2,0.60
53,M,3.9,Apple,Poss,Expected ,ExpFirst,1,3.83
53,M,3.9,Apple,Poss,Unexpected,ExpFirst,2,5.90
54,F,2.9,Apple,Poss,Unexpected,UnexFirst,1,2.03
54,F,2.9,Apple,Poss,Expected ,UnexFirst,2,2.33
55,M,2.8,Lemon,Prob,Unexpected,UnexFirst,1,3.80
55,M,2.8,Lemon,Prob,Expected ,UnexFirst,2,5.40
56,M,8.7,Apple,Poss,Unexpected,UnexFirst,1,3.90
56,M,8.7,Apple,Poss,Expected ,UnexFirst,2,5.67
57,M,4.9,Lemon,Poss,Expected ,ExpFirst,1,3.80
57,M,4.9,Lemon,Poss,Unexpected,ExpFirst,2,2.70
58,F,4.7,Lemon,Prob,Expected ,ExpFirst,1,8.20
58,F,4.7,Lemon,Prob,Unexpected,ExpFirst,2,5.67
59,M,3.9,Apple,Prob,Expected ,ExpFirst,1,9.07
59,M,3.9,Apple,Prob,Unexpected,ExpFirst,2,7.97
60,M,2.8,Apple,Prob,Expected ,ExpFirst,1,4.13
60,M,2.8,Apple,Prob,Unexpected,ExpFirst,2,10.00
61,M,1.8,Apple,Prob,Unexpected,UnexFirst,1,1.47
61,M,1.8,Apple,Prob,Expected ,UnexFirst,2,6.23
62,M,1.9,Lemon,Poss,Unexpected,UnexFirst,1,9.13
62,M,1.9,Lemon,Poss,Expected ,UnexFirst,2,5.47
63,F,1.9,Lemon,Poss,Unexpected,UnexFirst,1,9.80
63,F,1.9,Lemon,Poss,Expected ,UnexFirst,2,9.57
64,M,12.8,Apple,Poss,Expected ,ExpFirst,1,3.67
64,M,12.8,Apple,Poss,Unexpected,ExpFirst,2,2.87
65,M,10.6,Apple,Prob,Expected ,ExpFirst,1,2.63
65,M,10.6,Apple,Prob,Unexpected,ExpFirst,2,1.80
66,M,10.7,Lemon,Poss,Unexpected,UnexFirst,1,2.87
66,M,10.7,Lemon,Poss,Expected ,UnexFirst,2,1.43
67,F,7.7,Lemon,Prob,Unexpected,UnexFirst,1,5.83
67,F,7.7,Lemon,Prob,Expected ,UnexFirst,2,4.10
68,F,5.8,Lemon,Poss,Unexpected,UnexFirst,1,5.03
68,F,5.8,Lemon,Poss,Expected ,UnexFirst,2,2.43
69,F,2.8,Lemon,Prob,Unexpected,UnexFirst,1,7.60
69,F,2.8,Lemon,Prob,Expected ,UnexFirst,2,10.00
70,F,2.8,Lemon,Prob,Unexpected,UnexFirst,1,8.23
70,F,2.8,Lemon,Prob,Expected ,UnexFirst,2,3.57
71,F,1.9,Apple,Poss,Expected ,ExpFirst,1,7.00
71,F,1.9,Apple,Poss,Unexpected,ExpFirst,2,4.60
72,F,10.7,Apple,Prob,Expected ,ExpFirst,1,2.07
72,F,10.7,Apple,Prob,Unexpected,ExpFirst,2,1.33
73,F,6.8,Apple,Prob,Unexpected,UnexFirst,1,5.47
73,F,6.8,Apple,Prob,Expected ,UnexFirst,2,8.80
74,M,5.8,Apple,Prob,Expected ,ExpFirst,1,3.87
74,M,5.8,Apple,Prob,Unexpected,ExpFirst,2,9.63
75,M,5.8,Apple,Prob,Unexpected,UnexFirst,1,4.10
75,M,5.8,Apple,Prob,Expected ,UnexFirst,2,0.70
76,F,5.9,Apple,Poss,Unexpected,UnexFirst,1,9.77
76,F,5.9,Apple,Poss,Expected ,UnexFirst,2,9.50
77,F,5.9,Lemon,Poss,Expected ,ExpFirst,1,2.80
77,F,5.9,Lemon,Poss,Unexpected,ExpFirst,2,1.77
78,M,2.9,Lemon,Prob,Unexpected,UnexFirst,1,7.77
78,M,2.9,Lemon,Prob,Expected ,UnexFirst,2,3.23
79,F,2.9,Apple,Prob,Expected ,ExpFirst,1,9.70
79,F,2.9,Apple,Prob,Unexpected,ExpFirst,2,5.57
80,F,2.8,Lemon,Poss,Expected ,ExpFirst,1,2.60
80,F,2.8,Lemon,Poss,Unexpected,ExpFirst,2,6.23
