CodeID,Sex,Age,Population,Likelihood,TrialType,Order,TrialNumber,LookingTime
40,M,5.8,Lemon,Prob,Expected ,UnexFirst,2,5.13
41,M,3.9,Lemon,Poss,Unexpected,UnexFirst,1,6.57
41,M,3.9,Lemon,Poss,Expected ,UnexFirst,2,6.53
42,F,3,Apple,Poss,Expected ,ExpFirst,1,2.67
42,F,3,Apple,Poss,Unexpected,ExpFirst,2,3.13
43,M,2.9,Lemon,Poss,Unexpected,UnexFirst,1,1.47
43,M,2.9,Lemon,Poss,Expected ,UnexFirst,2,6.77
44,F,2.8,Lemon,Prob,Expected ,ExpFirst,1,5.60
44,F,2.8,Lemon,Prob,Unexpected,ExpFirst,2,7.50
45,M,2.9,Lemon,Poss,Unexpected,UnexFirst,1,4.77
45,M,2.9,Lemon,Poss,Expected ,UnexFirst,2,3.77
46,M,11.4,Lemon,Poss,Expected ,ExpFirst,1,2.87
46,M,11.4,Lemon,Poss,Unexpected,ExpFirst,2,4.73
47,M,7.8,Lemon,Prob,Unexpected,UnexFirst,1,5.80
47,M,7.8,Lemon,Prob,Expected ,UnexFirst,2,7.37
48,M,5.9,Apple,Prob,Unexpected,UnexFirst,1,3.90
48,M,5.9,Apple,Prob,Expected ,UnexFirst,2,4.03
49,M,2.7,Apple,Prob,Expected ,ExpFirst,1,9.73
49,M,2.7,Apple,Prob,Unexpected,ExpFirst,2,4.47
50,M,2.8,Apple,Poss,Unexpected,UnexFirst,1,6.23
50,M,2.8,Apple,Poss,Expected ,UnexFirst,2,8.77
51,F,2.9,Apple,Prob,Unexpected,UnexFirst,1,1.27
51,F,2.9,Apple,Prob,Expected ,UnexFirst,2,1.00
52,M,13.7,Lemon,Poss,Expected ,ExpFirst,1,4.83
52,M,13.7,Lemon,Poss,Unexpected,ExpFirst,2,2.70
53,M,10.7,Apple,Poss,Unexpected,UnexFirst,1,2.80
53,M,10.7,Apple,Poss,Expected ,UnexFirst,2,2.07
54,M,9.7,Apple,Prob,Expected ,ExpFirst,1,2.07
54,M,9.7,Apple,Prob,Unexpected,ExpFirst,2,6.70
55,F,5.8,Apple,Prob,Expected ,ExpFirst,1,5.73
55,F,5.8,Apple,Prob,Unexpected,ExpFirst,2,2.97
56,M,3.7,Lemon,Prob,Expected ,ExpFirst,1,7.30
56,M,3.7,Lemon,Prob,Unexpected,ExpFirst,2,2.17
57,F,2.9,Lemon,Poss,Expected ,ExpFirst,1,8.60
57,F,2.9,Lemon,Poss,Unexpected,ExpFirst,2,8.77
58,F,2.9,Apple,Prob,Expected ,ExpFirst,1,7.80
58,F,2.9,Apple,Prob,Unexpected,ExpFirst,2,2.97
59,M,2.1,Apple,Poss,Expected ,ExpFirst,1,7.80
59,M,2.1,Apple,Poss,Unexpected,ExpFirst,2,6.77
60,M,18.4,Lemon,Prob,Expected ,ExpFirst,1,3.70
60,M,18.4,Lemon,Prob,Unexpected,ExpFirst,2,5.03
61,M,10.8,Apple,Poss,Unexpected,UnexFirst,1,6.37
61,M,10.8,Apple,Poss,Expected ,UnexFirst,2,3.40
62,F,9.7,Lemon,Poss,Expected ,ExpFirst,1,3.20
62,F,9.7,Lemon,Poss,Unexpected,ExpFirst,2,3.97
63,F,5.9,Apple,Prob,Unexpected,UnexFirst,1,3.27
63,F,5.9,Apple,Prob,Expected ,UnexFirst,2,2.00
64,F,5.9,Lemon,Prob,Unexpected,UnexFirst,1,2.93
64,F,5.9,Lemon,Prob,Expected ,UnexFirst,2,1.43
65,F,4.7,Lemon,Prob,Unexpected,UnexFirst,1,5.20
65,F,4.7,Lemon,Prob,Expected ,UnexFirst,2,1.17
66,M,3.8,Apple,Poss,Expected ,ExpFirst,1,8.73
66,M,3.8,Apple,Poss,Unexpected,ExpFirst,2,3.53
67,M,3.8,Lemon,Prob,Unexpected,UnexFirst,1,8.93
67,M,3.8,Lemon,Prob,Expected ,UnexFirst,2,7.53
68,F,3.6,Lemon,Prob,Expected ,ExpFirst,1,4.30
68,F,3.6,Lemon,Prob,Unexpected,ExpFirst,2,5.37
69,F,2.8,Apple,Poss,Unexpected,UnexFirst,1,2.60
69,F,2.8,Apple,Poss,Expected ,UnexFirst,2,0.87
70,F,2.9,Lemon,Poss,Unexpected,UnexFirst,1,7.80
70,F,2.9,Lemon,Poss,Expected ,UnexFirst,2,0.63
71,M,2.9,Lemon,Poss,Expected ,ExpFirst,1,0.87
71,M,2.9,Lemon,Poss,Unexpected,ExpFirst,2,3.73
72,F,15.7,Apple,Poss,Expected ,ExpFirst,1,2.53
72,F,15.7,Apple,Poss,Unexpected,ExpFirst,2,2.23
73,M,8.7,Lemon,Prob,Expected ,ExpFirst,1,6.80
73,M,8.7,Lemon,Prob,Unexpected,ExpFirst,2,4.97
74,M,7.6,Apple,Poss,Expected ,ExpFirst,1,3.67
74,M,7.6,Apple,Poss,Unexpected,ExpFirst,2,4.83
75,F,6.6,Lemon,Prob,Unexpected,UnexFirst,1,3.83
75,F,6.6,Lemon,Prob,Expected ,UnexFirst,2,4.03
76,F,4.9,Apple,Poss,Unexpected,UnexFirst,1,9.87
76,F,4.9,Apple,Poss,Expected ,UnexFirst,2,1.53
77,M,2.6,Apple,Prob,Expected ,ExpFirst,1,8.00
77,M,2.6,Apple,Prob,Unexpected,ExpFirst,2,5.63
78,M,2.9,Apple,Prob,Expected ,ExpFirst,1,8.77
78,M,2.9,Apple,Prob,Unexpected,ExpFirst,2,4.77
79,M,2.9,Apple,Prob,Unexpected,UnexFirst,1,9.07
79,M,2.9,Apple,Prob,Expected ,UnexFirst,2,4.53
80,F,2.8,Apple,Prob,Expected ,ExpFirst,1,5.70
80,F,2.8,Apple,Prob,Unexpected,ExpFirst,2,1.40
